Data,Cod.ContaContabil,Valor
7/1/2018,11.02.00001,"-2,534.40 "
7/1/2018,11.02.00001,-392.75 
7/1/2018,11.02.00001,"-2,000.00 "
7/1/2018,11.02.00001,"-1,027.98 "
7/1/2018,11.02.00001,-83.33 
7/1/2018,11.02.00001,-50.83 
8/1/2018,11.02.00001,-75.65 
8/1/2018,11.02.00001,-33.03 
8/1/2018,11.02.00001,"-2,534.40 "
8/1/2018,11.02.00001,-392.75 
8/1/2018,11.02.00001,"-1,027.98 "
8/1/2018,11.02.00001,-83.33 
8/1/2018,11.02.00001,-50.83 
9/1/2018,11.02.00001,-75.65 
9/1/2018,11.02.00001,-33.03 
9/1/2018,11.02.00001,"-2,534.40 "
9/1/2018,11.02.00001,-392.75 
9/1/2018,11.02.00001,"-1,027.98 "
9/1/2018,11.02.00001,-83.33 
9/1/2018,11.02.00001,-50.83 
10/1/2018,11.02.00001,-75.65 
10/1/2018,11.02.00001,-33.03 
10/1/2018,11.02.00001,"-2,534.40 "
10/1/2018,11.02.00001,-392.75 
10/1/2018,11.02.00001,"-1,027.98 "
10/1/2018,11.02.00001,-83.33 
10/1/2018,11.02.00001,-50.83 
11/1/2018,11.02.00001,-75.65 
11/1/2018,11.02.00001,-33.03 
11/1/2018,11.02.00001,"-2,534.40 "
11/1/2018,11.02.00001,-392.75 
11/1/2018,11.02.00001,"-1,027.98 "
11/1/2018,11.02.00001,-83.33 
11/1/2018,11.02.00001,-50.83 
12/1/2018,11.02.00001,-75.65 
12/1/2018,11.02.00001,-33.03 
12/1/2018,11.02.00001,"-2,534.40 "
12/1/2018,11.02.00001,-392.75 
12/1/2018,11.02.00001,"-2,000.00 "
12/1/2018,11.02.00001,"-1,027.98 "
12/1/2018,11.02.00001,-83.33 
12/1/2018,11.02.00001,-50.83 
1/1/2019,11.02.00001,-75.65 
1/1/2019,11.02.00001,-33.03 
1/1/2019,11.02.00001,"-2,534.40 "
1/1/2019,11.02.00001,-392.75 
1/1/2019,11.02.00001,"-16,303.82 "
1/1/2019,11.02.00001,"-2,000.00 "
1/1/2019,11.02.00001,"-1,027.98 "
1/1/2019,11.02.00001,-83.33 
1/1/2019,11.02.00001,-50.83 
1/1/2019,11.02.00001,"-25,000.00 "
1/1/2019,11.02.00001,"-25,000.00 "
2/1/2019,11.02.00001,-75.65 
2/1/2019,11.02.00001,-33.03 
2/1/2019,11.02.00001,"-2,534.40 "
2/1/2019,11.02.00001,-392.75 
2/1/2019,11.02.00001,"-16,303.82 "
2/1/2019,11.02.00001,"-2,000.00 "
2/1/2019,11.02.00001,"-1,027.98 "
2/1/2019,11.02.00001,-83.33 
2/1/2019,11.02.00001,-50.83 
2/1/2019,11.02.00001,"-25,000.00 "
2/1/2019,11.02.00001,"-25,000.00 "
3/1/2019,11.02.00001,-75.65 
3/1/2019,11.02.00001,-33.03 
3/1/2019,11.02.00001,"-2,534.40 "
3/1/2019,11.02.00001,-392.75 
3/1/2019,11.02.00001,"-16,303.82 "
3/1/2019,11.02.00001,"-2,000.00 "
3/1/2019,11.02.00001,"-1,027.98 "
3/1/2019,11.02.00001,-83.33 
3/1/2019,11.02.00001,-50.83 
3/1/2019,11.02.00001,"-25,000.00 "
3/1/2019,11.02.00001,"-25,000.00 "
4/1/2019,11.02.00001,-75.65 
4/1/2019,11.02.00001,-33.03 
4/1/2019,11.02.00001,"-2,534.40 "
4/1/2019,11.02.00001,-392.75 
4/1/2019,11.02.00001,"-16,303.82 "
4/1/2019,11.02.00001,"-2,000.00 "
4/1/2019,11.02.00001,"-1,027.98 "
4/1/2019,11.02.00001,-83.33 
4/1/2019,11.02.00001,-50.83 
4/1/2019,11.02.00001,"-25,000.00 "
4/1/2019,11.02.00001,"-25,000.00 "
5/1/2019,11.02.00001,-75.65 
5/1/2019,11.02.00001,-33.03 
5/1/2019,11.02.00001,"-2,534.40 "
5/1/2019,11.02.00001,-392.75 
5/1/2019,11.02.00001,"-16,303.82 "
5/1/2019,11.02.00001,"-2,000.00 "
5/1/2019,11.02.00001,"-1,027.98 "
5/1/2019,11.02.00001,-83.33 
5/1/2019,11.02.00001,-50.83 
5/1/2019,11.02.00001,"-25,000.00 "
5/1/2019,11.02.00001,"-25,000.00 "
6/1/2019,11.02.00001,-75.65 
6/1/2019,11.02.00001,-33.03 
6/1/2019,11.02.00001,"-2,534.40 "
6/1/2019,11.02.00001,-392.75 
6/1/2019,11.02.00001,"-16,303.82 "
6/1/2019,11.02.00001,"-2,000.00 "
6/1/2019,11.02.00001,"-1,027.98 "
6/1/2019,11.02.00001,-83.33 
6/1/2019,11.02.00001,-50.83 
6/1/2019,11.02.00001,"-25,000.00 "
6/1/2019,11.02.00001,"-25,000.00 "
7/1/2019,11.02.00001,-75.65 
7/1/2019,11.02.00001,-33.03 
7/1/2019,11.02.00001,"-2,534.40 "
7/1/2019,11.02.00001,-392.75 
7/1/2019,11.02.00001,"-16,303.82 "
7/1/2019,11.02.00001,"-2,000.00 "
7/1/2019,11.02.00001,"-1,027.98 "
7/1/2019,11.02.00001,-83.33 
7/1/2019,11.02.00001,-50.83 
7/1/2019,11.02.00001,"-25,000.00 "
7/1/2019,11.02.00001,"-25,000.00 "
8/1/2019,11.02.00001,-75.65 
8/1/2019,11.02.00001,-33.03 
8/1/2019,11.02.00001,"-2,534.40 "
8/1/2019,11.02.00001,-392.75 
8/1/2019,11.02.00001,"-16,303.82 "
8/1/2019,11.02.00001,"-2,000.00 "
8/1/2019,11.02.00001,"-1,027.98 "
8/1/2019,11.02.00001,-83.33 
8/1/2019,11.02.00001,-50.83 
8/1/2019,11.02.00001,"-25,000.00 "
8/1/2019,11.02.00001,"-25,000.00 "
9/1/2019,11.02.00001,-75.65 
9/1/2019,11.02.00001,-33.03 
9/1/2019,11.02.00001,"-2,534.40 "
9/1/2019,11.02.00001,-392.75 
9/1/2019,11.02.00001,"-16,303.82 "
9/1/2019,11.02.00001,"-2,000.00 "
9/1/2019,11.02.00001,"-1,027.98 "
9/1/2019,11.02.00001,-83.33 
9/1/2019,11.02.00001,-50.83 
9/1/2019,11.02.00001,"-25,000.00 "
9/1/2019,11.02.00001,"-25,000.00 "
10/1/2019,11.02.00001,-75.65 
10/1/2019,11.02.00001,-33.03 
10/1/2019,11.02.00001,"-2,534.40 "
10/1/2019,11.02.00001,-392.75 
10/1/2019,11.02.00001,"-16,303.82 "
10/1/2019,11.02.00001,"-2,000.00 "
10/1/2019,11.02.00001,"-1,027.98 "
10/1/2019,11.02.00001,-83.33 
10/1/2019,11.02.00001,-50.83 
10/1/2019,11.02.00001,"-25,000.00 "
10/1/2019,11.02.00001,"-25,000.00 "
11/1/2019,11.02.00001,-75.65 
11/1/2019,11.02.00001,-33.03 
11/1/2019,11.02.00001,"-2,534.40 "
11/1/2019,11.02.00001,-392.75 
11/1/2019,11.02.00001,"-16,303.82 "
11/1/2019,11.02.00001,"-2,000.00 "
11/1/2019,11.02.00001,"-1,027.98 "
11/1/2019,11.02.00001,-83.33 
11/1/2019,11.02.00001,-50.83 
11/1/2019,11.02.00001,"-25,000.00 "
11/1/2019,11.02.00001,"-25,000.00 "
12/1/2019,11.02.00001,-75.65 
12/1/2019,11.02.00001,-33.03 
12/1/2019,11.02.00001,"-2,534.40 "
12/1/2019,11.02.00001,-392.75 
12/1/2019,11.02.00001,"-16,303.82 "
12/1/2019,11.02.00001,"-2,000.00 "
12/1/2019,11.02.00001,"-1,027.98 "
12/1/2019,11.02.00001,-83.33 
12/1/2019,11.02.00001,-50.83 
12/1/2019,11.02.00001,"-25,000.00 "
12/1/2019,11.02.00001,"-25,000.00 "
1/1/2020,11.02.00001,-75.65 
1/1/2020,11.02.00001,-33.03 
1/1/2020,11.02.00001,"-2,534.40 "
1/1/2020,11.02.00001,-392.75 
1/1/2020,11.02.00001,"-16,303.82 "
1/1/2020,11.02.00001,"-2,000.00 "
1/1/2020,11.02.00001,"-1,027.98 "
1/1/2020,11.02.00001,-83.33 
1/1/2020,11.02.00001,-50.83 
1/1/2020,11.02.00001,"-25,000.00 "
1/1/2020,11.02.00001,"-25,000.00 "
2/1/2020,11.02.00001,-75.65 
2/1/2020,11.02.00001,-33.03 
2/1/2020,11.02.00001,"-2,534.40 "
2/1/2020,11.02.00001,-392.75 
2/1/2020,11.02.00001,"-16,303.82 "
2/1/2020,11.02.00001,"-2,000.00 "
2/1/2020,11.02.00001,"-1,027.98 "
2/1/2020,11.02.00001,-83.33 
2/1/2020,11.02.00001,-50.83 
2/1/2020,11.02.00001,"-25,000.00 "
2/1/2020,11.02.00001,"-25,000.00 "
3/1/2020,11.02.00001,-75.65 
3/1/2020,11.02.00001,-33.03 
3/1/2020,11.02.00001,"-2,534.40 "
3/1/2020,11.02.00001,-392.75 
3/1/2020,11.02.00001,"-16,303.82 "
3/1/2020,11.02.00001,"-2,000.00 "
3/1/2020,11.02.00001,"-1,027.98 "
3/1/2020,11.02.00001,-83.33 
3/1/2020,11.02.00001,-50.83 
3/1/2020,11.02.00001,"-25,000.00 "
3/1/2020,11.02.00001,"-25,000.00 "
4/1/2020,11.02.00001,-75.65 
4/1/2020,11.02.00001,-33.03 
4/1/2020,11.02.00001,"-2,534.40 "
4/1/2020,11.02.00001,-392.75 
4/1/2020,11.02.00001,"-16,303.82 "
4/1/2020,11.02.00001,"-2,000.00 "
4/1/2020,11.02.00001,"-1,027.98 "
4/1/2020,11.02.00001,-83.33 
4/1/2020,11.02.00001,-50.83 
4/1/2020,11.02.00001,"-25,000.00 "
4/1/2020,11.02.00001,"-25,000.00 "
5/1/2020,11.02.00001,-75.65 
5/1/2020,11.02.00001,-33.03 
5/1/2020,11.02.00001,"-2,534.40 "
5/1/2020,11.02.00001,-392.75 
5/1/2020,11.02.00001,"-16,303.82 "
5/1/2020,11.02.00001,"-2,000.00 "
5/1/2020,11.02.00001,"-1,027.98 "
5/1/2020,11.02.00001,-83.33 
5/1/2020,11.02.00001,-50.83 
5/1/2020,11.02.00001,"-25,000.00 "
5/1/2020,11.02.00001,"-25,000.00 "
6/1/2020,11.02.00001,-75.65 
6/1/2020,11.02.00001,-33.03 
6/1/2020,11.02.00001,"-2,534.40 "
6/1/2020,11.02.00001,-392.75 
6/1/2020,11.02.00001,"-16,303.82 "
6/1/2020,11.02.00001,"-2,000.00 "
6/1/2020,11.02.00001,"-1,027.98 "
6/1/2020,11.02.00001,-83.33 
6/1/2020,11.02.00001,-50.83 
6/1/2020,11.02.00001,"-25,000.00 "
6/1/2020,11.02.00001,"-25,000.00 "
7/1/2020,11.02.00001,-75.65 
7/1/2020,11.02.00001,-33.03 
7/1/2020,11.02.00001,"-2,534.40 "
7/1/2020,11.02.00001,-392.75 
7/1/2020,11.02.00001,"-16,303.82 "
7/1/2020,11.02.00001,"-2,000.00 "
7/1/2020,11.02.00001,"-1,027.98 "
7/1/2020,11.02.00001,-83.33 
7/1/2020,11.02.00001,-50.83 
7/1/2020,11.02.00001,"-25,000.00 "
7/1/2020,11.02.00001,"-25,000.00 "
8/1/2017,11.01.00017,"-16,774.94 "
9/1/2017,11.01.00017,"-16,774.94 "
10/1/2017,11.01.00017,"-16,774.94 "
11/1/2017,11.01.00017,"-16,774.94 "
12/1/2017,11.01.00017,"-16,774.94 "
1/1/2018,11.01.00017,"-16,774.94 "
2/1/2018,11.01.00017,"-16,774.94 "
3/1/2018,11.01.00017,"-16,774.94 "
4/1/2018,11.01.00017,"-16,774.94 "
5/1/2018,11.01.00017,"-16,774.94 "
6/1/2018,11.01.00017,"-16,774.94 "
7/1/2018,11.01.00017,"-16,774.94 "
8/1/2018,11.01.00017,"-16,774.94 "
9/1/2018,11.01.00017,"-16,774.94 "
10/1/2018,11.01.00017,"-16,774.94 "
11/1/2018,11.01.00017,"-16,774.94 "
12/1/2018,11.01.00017,"-16,774.94 "
1/1/2019,11.01.00017,"-16,774.94 "
2/1/2019,11.01.00017,"-16,774.94 "
3/1/2019,11.01.00017,"-16,774.94 "
4/1/2019,11.01.00017,"-16,774.94 "
5/1/2019,11.01.00017,"-16,774.94 "
6/1/2019,11.01.00017,"-16,774.94 "
7/1/2019,11.01.00017,"-16,774.94 "
8/1/2019,11.01.00017,"-16,774.94 "
9/1/2019,11.01.00017,"-16,774.94 "
10/1/2019,11.01.00017,"-16,774.94 "
11/1/2019,11.01.00017,"-16,774.94 "
12/1/2019,11.01.00017,"-16,774.94 "
1/1/2020,11.01.00017,"-16,774.94 "
2/1/2020,11.01.00017,"-16,774.94 "
3/1/2020,11.01.00017,"-16,774.94 "
4/1/2020,11.01.00017,"-16,774.94 "
5/1/2020,11.01.00017,"-16,774.94 "
6/1/2020,11.01.00017,"-16,774.94 "
7/1/2020,11.01.00017,"-16,774.94 "
8/1/2017,11.01.00016,-425.41 
8/1/2017,11.01.00016,-70.00 
8/1/2017,11.01.00016,"-1,575.42 "
8/1/2017,11.01.00016,-1.17 
8/1/2017,11.01.00016,"-21,587.29 "
9/1/2017,11.01.00016,-425.41 
9/1/2017,11.01.00016,-70.00 
9/1/2017,11.01.00016,"-1,575.42 "
9/1/2017,11.01.00016,-1.17 
9/1/2017,11.01.00016,"-21,587.29 "
10/1/2017,11.01.00016,-425.41 
10/1/2017,11.01.00016,-70.00 
10/1/2017,11.01.00016,"-1,575.42 "
10/1/2017,11.01.00016,-1.17 
10/1/2017,11.01.00016,"-21,587.29 "
11/1/2017,11.01.00016,-425.41 
11/1/2017,11.01.00016,-70.00 
11/1/2017,11.01.00016,"-1,575.42 "
11/1/2017,11.01.00016,-1.17 
11/1/2017,11.01.00016,"-21,587.29 "
12/1/2017,11.01.00016,-425.41 
12/1/2017,11.01.00016,-70.00 
12/1/2017,11.01.00016,"-1,575.42 "
12/1/2017,11.01.00016,-1.17 
12/1/2017,11.01.00016,"-21,587.29 "
1/1/2018,11.01.00016,-425.41 
1/1/2018,11.01.00016,-70.00 
1/1/2018,11.01.00016,"-1,575.42 "
1/1/2018,11.01.00016,-1.17 
1/1/2018,11.01.00016,"-21,587.29 "
2/1/2018,11.01.00016,-425.41 
2/1/2018,11.01.00016,-70.00 
2/1/2018,11.01.00016,"-1,575.42 "
2/1/2018,11.01.00016,-1.17 
2/1/2018,11.01.00016,"-21,587.29 "
3/1/2018,11.01.00016,-425.41 
3/1/2018,11.01.00016,-70.00 
3/1/2018,11.01.00016,"-1,575.42 "
3/1/2018,11.01.00016,-1.17 
3/1/2018,11.01.00016,"-21,587.29 "
4/1/2018,11.01.00016,-425.41 
4/1/2018,11.01.00016,-70.00 
4/1/2018,11.01.00016,"-1,575.42 "
4/1/2018,11.01.00016,-1.17 
4/1/2018,11.01.00016,"-21,587.29 "
5/1/2018,11.01.00016,-425.41 
5/1/2018,11.01.00016,-70.00 
5/1/2018,11.01.00016,"-1,575.42 "
5/1/2018,11.01.00016,-1.17 
5/1/2018,11.01.00016,"-21,587.29 "
6/1/2018,11.01.00016,-425.41 
6/1/2018,11.01.00016,-70.00 
6/1/2018,11.01.00016,"-1,575.42 "
6/1/2018,11.01.00016,-1.17 
6/1/2018,11.01.00016,"-21,587.29 "
7/1/2018,11.01.00016,-425.41 
7/1/2018,11.01.00016,-70.00 
7/1/2018,11.01.00016,"-1,575.42 "
7/1/2018,11.01.00016,-1.17 
7/1/2018,11.01.00016,"-21,587.29 "
7/1/2018,11.01.00016,"-26,250.00 "
7/1/2018,11.01.00016,"-1,500.00 "
8/1/2018,11.01.00016,-425.41 
8/1/2018,11.01.00016,-70.00 
8/1/2018,11.01.00016,"-1,575.42 "
8/1/2018,11.01.00016,-1.17 
8/1/2018,11.01.00016,"-21,587.29 "
9/1/2018,11.01.00016,-425.41 
9/1/2018,11.01.00016,-70.00 
9/1/2018,11.01.00016,"-1,575.42 "
9/1/2018,11.01.00016,-1.17 
9/1/2018,11.01.00016,"-21,587.29 "
10/1/2018,11.01.00016,-425.41 
10/1/2018,11.01.00016,-70.00 
10/1/2018,11.01.00016,"-1,575.42 "
10/1/2018,11.01.00016,-1.17 
10/1/2018,11.01.00016,"-21,587.29 "
11/1/2018,11.01.00016,-425.41 
11/1/2018,11.01.00016,-70.00 
11/1/2018,11.01.00016,"-1,575.42 "
11/1/2018,11.01.00016,-1.17 
11/1/2018,11.01.00016,"-21,587.29 "
12/1/2018,11.01.00016,-425.41 
12/1/2018,11.01.00016,-70.00 
12/1/2018,11.01.00016,"-1,575.42 "
12/1/2018,11.01.00016,-1.17 
12/1/2018,11.01.00016,"-21,587.29 "
12/1/2018,11.01.00016,"-26,250.00 "
12/1/2018,11.01.00016,"-1,500.00 "
1/1/2019,11.01.00016,-425.41 
1/1/2019,11.01.00016,-70.00 
1/1/2019,11.01.00016,"-1,575.42 "
1/1/2019,11.01.00016,-1.17 
1/1/2019,11.01.00016,"-21,587.29 "
1/1/2019,11.01.00016,"-26,250.00 "
1/1/2019,11.01.00016,"-1,500.00 "
1/1/2019,11.01.00016,-150.00 
2/1/2019,11.01.00016,-425.41 
2/1/2019,11.01.00016,-70.00 
2/1/2019,11.01.00016,"-1,575.42 "
2/1/2019,11.01.00016,-1.17 
2/1/2019,11.01.00016,"-21,587.29 "
2/1/2019,11.01.00016,"-26,250.00 "
2/1/2019,11.01.00016,"-1,500.00 "
2/1/2019,11.01.00016,-150.00 
3/1/2019,11.01.00016,-425.41 
3/1/2019,11.01.00016,-70.00 
3/1/2019,11.01.00016,"-1,575.42 "
3/1/2019,11.01.00016,-1.17 
3/1/2019,11.01.00016,"-21,587.29 "
3/1/2019,11.01.00016,"-26,250.00 "
3/1/2019,11.01.00016,"-1,500.00 "
3/1/2019,11.01.00016,-150.00 
4/1/2019,11.01.00016,-425.41 
4/1/2019,11.01.00016,-70.00 
4/1/2019,11.01.00016,"-1,575.42 "
4/1/2019,11.01.00016,-1.17 
4/1/2019,11.01.00016,"-21,587.29 "
4/1/2019,11.01.00016,"-26,250.00 "
4/1/2019,11.01.00016,"-1,500.00 "
4/1/2019,11.01.00016,-150.00 
5/1/2019,11.01.00016,-425.41 
5/1/2019,11.01.00016,-70.00 
5/1/2019,11.01.00016,"-1,575.42 "
5/1/2019,11.01.00016,-1.17 
5/1/2019,11.01.00016,"-21,587.29 "
5/1/2019,11.01.00016,"-26,250.00 "
5/1/2019,11.01.00016,"-1,500.00 "
5/1/2019,11.01.00016,-150.00 
6/1/2019,11.01.00016,-425.41 
6/1/2019,11.01.00016,-70.00 
6/1/2019,11.01.00016,"-1,575.42 "
6/1/2019,11.01.00016,-1.17 
6/1/2019,11.01.00016,"-21,587.29 "
6/1/2019,11.01.00016,"-26,250.00 "
6/1/2019,11.01.00016,"-1,500.00 "
6/1/2019,11.01.00016,-150.00 
7/1/2019,11.01.00016,-425.41 
7/1/2019,11.01.00016,-70.00 
7/1/2019,11.01.00016,"-1,575.42 "
7/1/2019,11.01.00016,-1.17 
7/1/2019,11.01.00016,"-21,587.29 "
7/1/2019,11.01.00016,"-26,250.00 "
7/1/2019,11.01.00016,"-1,500.00 "
7/1/2019,11.01.00016,-150.00 
8/1/2019,11.01.00016,-425.41 
8/1/2019,11.01.00016,-70.00 
8/1/2019,11.01.00016,"-1,575.42 "
8/1/2019,11.01.00016,-1.17 
8/1/2019,11.01.00016,"-21,587.29 "
8/1/2019,11.01.00016,"-26,250.00 "
8/1/2019,11.01.00016,"-1,500.00 "
8/1/2019,11.01.00016,-150.00 
9/1/2019,11.01.00016,-425.41 
9/1/2019,11.01.00016,-70.00 
9/1/2019,11.01.00016,"-1,575.42 "
9/1/2019,11.01.00016,-1.17 
9/1/2019,11.01.00016,"-21,587.29 "
9/1/2019,11.01.00016,"-26,250.00 "
9/1/2019,11.01.00016,"-1,500.00 "
9/1/2019,11.01.00016,-150.00 
10/1/2019,11.01.00016,-425.41 
10/1/2019,11.01.00016,-70.00 
10/1/2019,11.01.00016,"-1,575.42 "
10/1/2019,11.01.00016,-1.17 
10/1/2019,11.01.00016,"-21,587.29 "
10/1/2019,11.01.00016,"-26,250.00 "
10/1/2019,11.01.00016,"-1,500.00 "
10/1/2019,11.01.00016,-150.00 
11/1/2019,11.01.00016,-425.41 
11/1/2019,11.01.00016,-70.00 
11/1/2019,11.01.00016,"-1,575.42 "
11/1/2019,11.01.00016,-1.17 
11/1/2019,11.01.00016,"-21,587.29 "
11/1/2019,11.01.00016,"-26,250.00 "
11/1/2019,11.01.00016,"-1,500.00 "
11/1/2019,11.01.00016,-150.00 
12/1/2019,11.01.00016,-425.41 
12/1/2019,11.01.00016,-70.00 
12/1/2019,11.01.00016,"-1,575.42 "
12/1/2019,11.01.00016,-1.17 
12/1/2019,11.01.00016,"-21,587.29 "
12/1/2019,11.01.00016,"-26,250.00 "
12/1/2019,11.01.00016,"-1,500.00 "
12/1/2019,11.01.00016,-150.00 
1/1/2020,11.01.00016,-425.41 
1/1/2020,11.01.00016,-70.00 
1/1/2020,11.01.00016,"-1,575.42 "
1/1/2020,11.01.00016,-1.17 
1/1/2020,11.01.00016,"-21,587.29 "
1/1/2020,11.01.00016,"-26,250.00 "
1/1/2020,11.01.00016,"-1,500.00 "
1/1/2020,11.01.00016,-150.00 
2/1/2020,11.01.00016,-425.41 
2/1/2020,11.01.00016,-70.00 
2/1/2020,11.01.00016,"-1,575.42 "
2/1/2020,11.01.00016,-1.17 
2/1/2020,11.01.00016,"-21,587.29 "
2/1/2020,11.01.00016,"-26,250.00 "
2/1/2020,11.01.00016,"-1,500.00 "
2/1/2020,11.01.00016,-150.00 
3/1/2020,11.01.00016,-425.41 
3/1/2020,11.01.00016,-70.00 
3/1/2020,11.01.00016,"-1,575.42 "
3/1/2020,11.01.00016,-1.17 
3/1/2020,11.01.00016,"-21,587.29 "
3/1/2020,11.01.00016,"-26,250.00 "
3/1/2020,11.01.00016,"-1,500.00 "
3/1/2020,11.01.00016,-150.00 
4/1/2020,11.01.00016,-425.41 
4/1/2020,11.01.00016,-70.00 
4/1/2020,11.01.00016,"-1,575.42 "
4/1/2020,11.01.00016,-1.17 
4/1/2020,11.01.00016,"-21,587.29 "
4/1/2020,11.01.00016,"-26,250.00 "
4/1/2020,11.01.00016,"-1,500.00 "
4/1/2020,11.01.00016,-150.00 
5/1/2020,11.01.00016,-425.41 
5/1/2020,11.01.00016,-70.00 
5/1/2020,11.01.00016,"-1,575.42 "
5/1/2020,11.01.00016,-1.17 
5/1/2020,11.01.00016,"-21,587.29 "
5/1/2020,11.01.00016,"-26,250.00 "
5/1/2020,11.01.00016,"-1,500.00 "
5/1/2020,11.01.00016,-150.00 
6/1/2020,11.01.00016,-425.41 
6/1/2020,11.01.00016,-70.00 
6/1/2020,11.01.00016,"-1,575.42 "
6/1/2020,11.01.00016,-1.17 
6/1/2020,11.01.00016,"-21,587.29 "
6/1/2020,11.01.00016,"-26,250.00 "
6/1/2020,11.01.00016,"-1,500.00 "
6/1/2020,11.01.00016,-150.00 
7/1/2020,11.01.00016,-425.41 
7/1/2020,11.01.00016,-70.00 
7/1/2020,11.01.00016,"-1,575.42 "
7/1/2020,11.01.00016,-1.17 
7/1/2020,11.01.00016,"-21,587.29 "
7/1/2020,11.01.00016,"-26,250.00 "
7/1/2020,11.01.00016,"-1,500.00 "
7/1/2020,11.01.00016,-150.00 
8/1/2017,11.01.00015,-6.00 
8/1/2017,11.01.00015,-5.17 
8/1/2017,11.01.00015,-146.56 
8/1/2017,11.01.00015,-244.57 
8/1/2017,11.01.00015,-3.58 
8/1/2017,11.01.00015,"-2,033.62 "
8/1/2017,11.01.00015,-5.17 
9/1/2017,11.01.00015,-6.00 
9/1/2017,11.01.00015,-5.17 
9/1/2017,11.01.00015,-146.56 
9/1/2017,11.01.00015,-244.57 
9/1/2017,11.01.00015,-3.58 
9/1/2017,11.01.00015,"-2,033.62 "
9/1/2017,11.01.00015,-5.17 
10/1/2017,11.01.00015,-6.00 
10/1/2017,11.01.00015,-5.17 
10/1/2017,11.01.00015,-146.56 
10/1/2017,11.01.00015,-244.57 
10/1/2017,11.01.00015,-3.58 
10/1/2017,11.01.00015,"-2,033.62 "
10/1/2017,11.01.00015,-5.17 
11/1/2017,11.01.00015,-6.00 
11/1/2017,11.01.00015,-5.17 
11/1/2017,11.01.00015,-146.56 
11/1/2017,11.01.00015,-244.57 
11/1/2017,11.01.00015,-3.58 
11/1/2017,11.01.00015,"-2,033.62 "
11/1/2017,11.01.00015,-5.17 
12/1/2017,11.01.00015,-6.00 
12/1/2017,11.01.00015,-5.17 
12/1/2017,11.01.00015,-146.56 
12/1/2017,11.01.00015,-244.57 
12/1/2017,11.01.00015,-3.58 
12/1/2017,11.01.00015,"-2,033.62 "
12/1/2017,11.01.00015,-5.17 
1/1/2018,11.01.00015,-6.00 
1/1/2018,11.01.00015,-5.17 
1/1/2018,11.01.00015,-146.56 
1/1/2018,11.01.00015,-244.57 
1/1/2018,11.01.00015,-3.58 
1/1/2018,11.01.00015,"-2,033.62 "
1/1/2018,11.01.00015,-5.17 
2/1/2018,11.01.00015,-6.00 
2/1/2018,11.01.00015,-5.17 
2/1/2018,11.01.00015,-146.56 
