CodFuncionario,Genero,Idade,Tipo de Trabalho,Unidade,Centro de Custo,Data Admissao,Situação,Tipo Pagamento,Motivo Demissão, Salário ,Data Demissão
33508,Feminino,45,Contrato,Wellington,Vendas e Marketing,4/27/1993,Inativo,Horista,Sem Justa Causa," R$ 7,333.33 ",11/23/1995
23606,Masculino,65,Contrato,Wellington,Vendas e Marketing,6/12/1993,Ativo,Mensalista,Sem Justa Causa," R$ 3,416.67 ",
33376,Feminino,55,Tempo Integral,Dunedin,RH,7/22/1993,Ativo,Mensalista,Sem Justa Causa," R$ 8,333.33 ",
33676,Masculino,50,Tempo Integral,Christchurch,RH,8/31/1993,Inativo,Mensalista,Sem Justa Causa," R$ 7,416.67 ",3/15/1996
24268,Masculino,65,Contrato,Auckland,RH,10/19/1993,Ativo,Mensalista,Sem Justa Causa," R$ 6,333.33 ",
24088,Masculino,63,Tempo Integral,Hamilton,Jurídico,5/10/1994,Ativo,Mensalista,Sem Justa Causa," R$ 10,083.33 ",
33338,Feminino,65,Contrato,Christchurch,Gerente Executivo,6/7/1994,Inativo,Mensalista,Sem Justa Causa," R$ 22,750.00 ",11/22/1996
30214,Masculino,39,Tempo Integral,Auckland,Vendas e Marketing,7/14/1994,Ativo,Mensalista,Sem Justa Causa," R$ 6,750.00 ",
33434,Masculino,41,Tempo Integral,Nelson,Jurídico,8/17/1994,Ativo,Mensalista,Sem Justa Causa," R$ 6,916.67 ",
18094,Masculino,44,Tempo Integral,Hamilton,Pesquisa,10/19/1994,Inativo,Mensalista,Pedido de Demissão," R$ 5,500.00 ",3/23/1997
22810,Feminino,71,Contrato,Nelson,TI,11/8/1994,Inativo,Mensalista,Sem Justa Causa," R$ 6,333.33 ",4/10/1997
23004,Masculino,83,Tempo Parcial,Wellington,Financeiro,12/1/1994,Inativo,Mensalista,Sem Justa Causa," R$ 8,750.00 ",5/1/1997
33082,Masculino,65,Tempo Parcial,Auckland,Financeiro,4/20/1995,Ativo,Mensalista,Sem Justa Causa," R$ 11,666.67 ",
22816,Masculino,70,Tempo Parcial,Auckland,Gerente Executivo,7/13/1995,Inativo,Mensalista,Sem Justa Causa," R$ 27,166.67 ",11/18/1997
33948,Masculino,44,Tempo Integral,Auckland,Pesquisa,8/22/1995,Inativo,Mensalista,Pedido de Demissão," R$ 7,416.67 ",12/24/1997
22928,Masculino,69,Tempo Integral,Wellington,Operacional,8/24/1995,Inativo,Mensalista,Sem Justa Causa," R$ 3,666.67 ",12/26/1997
19124,Masculino,56,Tempo Parcial,Auckland,TI,11/5/1995,Ativo,Mensalista,Pedido de Demissão," R$ 7,333.33 ",
32386,Masculino,46,Contrato,Wellington,Operacional,11/8/1995,Ativo,Mensalista,Sem Justa Causa," R$ 5,416.67 ",
30372,Masculino,62,Tempo Parcial,Auckland,TI,11/15/1995,Ativo,Mensalista,Sem Justa Causa," R$ 7,916.67 ",
24102,Masculino,74,Contrato,Hamilton,RH,3/28/1996,Inativo,Horista,Sem Justa Causa," R$ 7,333.33 ",7/9/1998
24020,Masculino,75,Contrato,Manukau,Pesquisa,4/11/1996,Ativo,Mensalista,Sem Justa Causa," R$ 7,166.67 ",
24078,Masculino,75,Tempo Integral,Auckland,Pesquisa,5/11/1996,Inativo,Mensalista,Sem Justa Causa," R$ 9,000.00 ",8/18/1998
24092,Masculino,68,Tempo Integral,Auckland,Vendas e Marketing,9/14/1996,Inativo,Horista,Sem Justa Causa," R$ 6,583.33 ",12/9/1998
23122,Masculino,56,Tempo Parcial,Wellington,Vendas e Marketing,10/6/1996,Inativo,Mensalista,Sem Justa Causa," R$ 3,500.00 ",12/29/1998
23652,Masculino,65,Tempo Parcial,Auckland,TI,10/17/1996,Inativo,Mensalista,Sem Justa Causa," R$ 6,000.00 ",1/8/1999
23608,Masculino,62,Tempo Integral,Dunedin,Manutenção,11/20/1996,Ativo,Mensalista,Sem Justa Causa," R$ 3,083.33 ",
16876,Masculino,62,Tempo Parcial,Christchurch,Gerente Executivo,11/21/1996,Inativo,Mensalista,Pedido de Demissão," R$ 23,250.00 ",2/9/1999
12924,Masculino,43,Tempo Integral,Dunedin,TI,6/4/1997,Ativo,Horista,Sem Justa Causa," R$ 10,000.00 ",
22658,Feminino,62,Tempo Integral,Auckland,Financeiro,6/18/1997,Ativo,Mensalista,Sem Justa Causa," R$ 9,416.67 ",
24006,Masculino,55,Tempo Parcial,Auckland,Gerente Executivo,7/17/1997,Ativo,Mensalista,Sem Justa Causa," R$ 37,416.67 ",
27466,Feminino,46,Tempo Parcial,Christchurch,TI,7/23/1997,Ativo,Mensalista,Sem Justa Causa," R$ 9,166.67 ",
19160,Feminino,34,Contrato,Dunedin,Pesquisa,9/16/1997,Ativo,Mensalista,Pedido de Demissão," R$ 8,166.67 ",
19144,Feminino,45,Tempo Integral,Hamilton,TI,9/30/1997,Ativo,Mensalista,Pedido de Demissão," R$ 9,583.33 ",
17408,Feminino,42,Tempo Integral,Auckland,TI,10/7/1997,Inativo,Horista,Pedido de Demissão," R$ 5,416.67 ",11/24/1999
22186,Masculino,49,Tempo Integral,Christchurch,Gerente Executivo,11/18/1997,Inativo,Mensalista,Pedido de Demissão," R$ 28,750.00 ",12/31/1999
20642,Feminino,34,Tempo Integral,Dunedin,Vendas e Marketing,2/4/1998,Ativo,Horista,Pedido de Demissão," R$ 7,750.00 ",
23714,Masculino,57,Tempo Integral,Auckland,RH,2/6/1998,Ativo,Mensalista,Sem Justa Causa," R$ 8,000.00 ",
24300,Masculino,65,Tempo Integral,Wellington,RH,5/6/1998,Ativo,Mensalista,Sem Justa Causa," R$ 7,916.67 ",
33366,Masculino,69,Contrato,Wellington,Vendas e Marketing,8/1/1998,Inativo,Mensalista,Sem Justa Causa," R$ 6,166.67 ",8/18/2000
33482,Feminino,35,Tempo Integral,Hamilton,Operacional,8/13/1998,Ativo,Horista,Sem Justa Causa," R$ 4,083.33 ",
24010,Masculino,64,Tempo Integral,Auckland,Financeiro,9/2/1998,Inativo,Mensalista,Sem Justa Causa," R$ 10,833.33 ",9/16/2000
23146,Feminino,65,Tempo Integral,Auckland,Vendas e Marketing,11/18/1998,Inativo,Mensalista,Sem Justa Causa," R$ 4,750.00 ",11/24/2000
33556,Feminino,39,Tempo Integral,Christchurch,Vendas e Marketing,2/5/1999,Ativo,Mensalista,Sem Justa Causa," R$ 5,666.67 ",
33408,Feminino,53,Tempo Integral,Nelson,Financeiro,3/9/1999,Ativo,Mensalista,Sem Justa Causa," R$ 12,166.67 ",
28362,Masculino,34,Tempo Integral,Wellington,Pesquisa,5/18/1999,Ativo,Horista,Sem Justa Causa," R$ 5,833.33 ",
28588,Feminino,32,Tempo Integral,Auckland,Pesquisa,5/21/1999,Inativo,Mensalista,Sem Justa Causa," R$ 5,083.33 ",5/8/2001
22954,Masculino,71,Tempo Parcial,Christchurch,Operacional,8/6/1999,Ativo,Mensalista,Sem Justa Causa," R$ 4,833.33 ",
33832,Feminino,37,Tempo Integral,Auckland,Manutenção,8/26/1999,Ativo,Horista,Pedido de Demissão," R$ 3,583.33 ",
27726,Feminino,34,Contrato,Hamilton,Gerente Executivo,10/14/1999,Ativo,Mensalista,Sem Justa Causa," R$ 15,916.67 ",
21498,Masculino,66,Tempo Integral,Nelson,TI,2/11/2000,Ativo,Horista,Pedido de Demissão," R$ 5,916.67 ",
29604,Feminino,38,Tempo Parcial,Manukau,Financeiro,3/3/2000,Ativo,Mensalista,Sem Justa Causa," R$ 11,333.33 ",
19142,Feminino,38,Tempo Integral,Auckland,Vendas e Marketing,4/1/2000,Ativo,Mensalista,Pedido de Demissão," R$ 7,750.00 ",
23622,Masculino,60,Tempo Parcial,Christchurch,Gerente Executivo,4/28/2000,Ativo,Horista,Sem Justa Causa," R$ 13,000.00 ",
30770,Masculino,41,Contrato,North Shore,Vendas e Marketing,6/22/2000,Ativo,Mensalista,Sem Justa Causa," R$ 7,000.00 ",
33570,Feminino,41,Contrato,Auckland,Financeiro,7/7/2000,Ativo,Mensalista,Sem Justa Causa," R$ 11,750.00 ",
22198,Feminino,33,Tempo Integral,Nelson,Jurídico,7/22/2000,Inativo,Mensalista,Pedido de Demissão," R$ 9,333.33 ",5/29/2002
31924,Masculino,34,Tempo Integral,North Shore,RH,7/22/2000,Ativo,Mensalista,Sem Justa Causa," R$ 7,250.00 ",
33318,Masculino,62,Tempo Parcial,Nelson,Vendas e Marketing,10/18/2000,Inativo,Mensalista,Sem Justa Causa," R$ 6,000.00 ",8/16/2002
29580,Masculino,39,Tempo Integral,Manukau,TI,10/24/2000,Ativo,Mensalista,Sem Justa Causa," R$ 8,750.00 ",
22930,Masculino,66,Tempo Integral,Nelson,Vendas e Marketing,10/25/2000,Ativo,Mensalista,Sem Justa Causa," R$ 4,750.00 ",
19150,Feminino,64,Tempo Integral,Auckland,Jurídico,10/27/2000,Inativo,Mensalista,Pedido de Demissão," R$ 6,916.67 ",8/24/2002
24080,Feminino,61,Tempo Integral,Auckland,Manutenção,12/1/2000,Inativo,Mensalista,Sem Justa Causa," R$ 3,583.33 ",9/24/2002
17838,Masculino,31,Tempo Integral,Auckland,Vendas e Marketing,3/7/2001,Ativo,Mensalista,Pedido de Demissão," R$ 5,666.67 ",
33882,Masculino,47,Tempo Integral,Wellington,Financeiro,3/28/2001,Ativo,Mensalista,Pedido de Demissão," R$ 12,166.67 ",
33244,Feminino,36,Tempo Integral,Auckland,Jurídico,4/3/2001,Ativo,Mensalista,Sem Justa Causa," R$ 10,583.33 ",
20658,Masculino,34,Tempo Integral,Wellington,TI,4/19/2001,Ativo,Mensalista,Sem Justa Causa," R$ 8,333.33 ",
33358,Feminino,65,Tempo Integral,Nelson,Financeiro,4/26/2001,Ativo,Mensalista,Sem Justa Causa," R$ 11,750.00 ",
23578,Masculino,67,Tempo Integral,Hamilton,Operacional,6/10/2001,Ativo,Horista,Sem Justa Causa," R$ 4,333.33 ",
33070,Masculino,30,Tempo Integral,Christchurch,Vendas e Marketing,6/12/2001,Ativo,Mensalista,Sem Justa Causa," R$ 4,000.00 ",
25608,Masculino,32,Tempo Integral,Dunedin,Operacional,6/21/2001,Inativo,Horista,Sem Justa Causa," R$ 4,750.00 ",3/25/2003
33536,Masculino,50,Tempo Integral,Wellington,Operacional,6/27/2001,Inativo,Horista,Sem Justa Causa," R$ 3,500.00 ",3/31/2003
18730,Feminino,50,Tempo Parcial,Christchurch,Gerente Executivo,6/27/2001,Ativo,Mensalista,Sem Justa Causa," R$ 27,166.67 ",
31976,Masculino,31,Tempo Integral,Auckland,Jurídico,6/28/2001,Ativo,Mensalista,Sem Justa Causa," R$ 8,166.67 ",
29684,Feminino,48,Tempo Integral,Dunedin,Manutenção,7/11/2001,Inativo,Mensalista,Sem Justa Causa," R$ 3,083.33 ",4/12/2003
23984,Feminino,81,Tempo Integral,Auckland,Manutenção,7/12/2001,Ativo,Mensalista,Sem Justa Causa," R$ 3,333.33 ",
24090,Masculino,69,Tempo Integral,Hamilton,Financeiro,7/25/2001,Inativo,Mensalista,Sem Justa Causa," R$ 10,416.67 ",4/25/2003
23594,Masculino,66,Tempo Integral,Auckland,Vendas e Marketing,8/1/2001,Ativo,Mensalista,Sem Justa Causa," R$ 6,333.33 ",
24108,Masculino,65,Tempo Integral,Auckland,TI,8/7/2001,Ativo,Horista,Sem Justa Causa," R$ 7,750.00 ",
22564,Feminino,65,Tempo Integral,Wellington,Pesquisa,8/14/2001,Ativo,Mensalista,Sem Justa Causa," R$ 5,166.67 ",
25336,Masculino,31,Tempo Integral,Auckland,Manutenção,8/19/2001,Ativo,Mensalista,Sem Justa Causa," R$ 3,666.67 ",
22636,Masculino,65,Contrato,Dunedin,Gerente Executivo,9/1/2001,Ativo,Mensalista,Sem Justa Causa," R$ 24,000.00 ",
33402,Masculino,33,Tempo Integral,Auckland,Jurídico,9/14/2001,Ativo,Horista,Sem Justa Causa," R$ 6,833.33 ",
22872,Masculino,65,Tempo Parcial,Christchurch,Financeiro,9/19/2001,Ativo,Mensalista,Sem Justa Causa," R$ 10,333.33 ",
22828,Feminino,73,Tempo Integral,Auckland,Manutenção,9/19/2001,Ativo,Mensalista,Sem Justa Causa," R$ 3,500.00 ",
18342,Masculino,70,Tempo Integral,Auckland,Operacional,10/3/2001,Ativo,Mensalista,Pedido de Demissão," R$ 2,916.67 ",
23330,Feminino,62,Tempo Integral,Auckland,Pesquisa,10/18/2001,Inativo,Mensalista,Sem Justa Causa," R$ 9,750.00 ",7/10/2003
29608,Feminino,30,Tempo Integral,Wellington,Pesquisa,12/12/2001,Inativo,Mensalista,Sem Justa Causa," R$ 8,666.67 ",8/29/2003
20316,Masculino,57,Tempo Integral,Christchurch,Jurídico,1/23/2002,Ativo,Horista,Pedido de Demissão," R$ 9,000.00 ",
22784,Feminino,78,Tempo Integral,North Shore,Operacional,1/23/2002,Ativo,Mensalista,Sem Justa Causa," R$ 4,833.33 ",
5620,Masculino,50,Tempo Integral,Auckland,Pesquisa,1/24/2002,Inativo,Mensalista,Sem Justa Causa," R$ 6,250.00 ",10/7/2003
24112,Masculino,55,Contrato,Dunedin,Gerente Executivo,2/27/2002,Ativo,Mensalista,Sem Justa Causa," R$ 39,333.33 ",
24118,Masculino,62,Tempo Integral,Auckland,Vendas e Marketing,3/29/2002,Inativo,Horista,Sem Justa Causa," R$ 7,666.67 ",12/3/2003
29220,Feminino,52,Tempo Parcial,Auckland,Pesquisa,4/10/2002,Ativo,Mensalista,Sem Justa Causa," R$ 7,166.67 ",
23646,Masculino,65,Tempo Integral,Auckland,Operacional,4/25/2002,Ativo,Mensalista,Sem Justa Causa," R$ 5,166.67 ",
24018,Feminino,75,Tempo Integral,Wellington,Manutenção,6/5/2002,Inativo,Mensalista,Sem Justa Causa," R$ 3,750.00 ",2/2/2004
17850,Masculino,56,Contrato,Hamilton,Gerente Executivo,7/2/2002,Ativo,Mensalista,Pedido de Demissão," R$ 20,583.33 ",
24122,Masculino,71,Contrato,Christchurch,TI,7/16/2002,Inativo,Horista,Sem Justa Causa," R$ 9,416.67 ",3/10/2004
22836,Masculino,81,Tempo Integral,Wellington,Vendas e Marketing,7/17/2002,Inativo,Mensalista,Sem Justa Causa," R$ 7,000.00 ",3/11/2004
16756,Masculino,29,Tempo Integral,North Shore,Vendas e Marketing,7/24/2002,Inativo,Horista,Pedido de Demissão," R$ 6,250.00 ",3/17/2004
24194,Masculino,61,Tempo Parcial,Auckland,Gerente Executivo,8/14/2002,Ativo,Mensalista,Sem Justa Causa," R$ 26,916.67 ",
18872,Feminino,52,Tempo Parcial,Dunedin,TI,8/28/2002,Ativo,Mensalista,Pedido de Demissão," R$ 9,666.67 ",
29606,Feminino,32,Tempo Integral,North Shore,Manutenção,8/28/2002,Ativo,Mensalista,Sem Justa Causa," R$ 3,500.00 ",
24270,Feminino,63,Tempo Parcial,Wellington,RH,9/3/2002,Inativo,Mensalista,Sem Justa Causa," R$ 7,500.00 ",4/23/2004
28634,Feminino,51,Tempo Parcial,Christchurch,Operacional,9/10/2002,Ativo,Mensalista,Sem Justa Causa," R$ 4,750.00 ",
22832,Masculino,81,Tempo Integral,Auckland,Gerente Executivo,9/17/2002,Ativo,Mensalista,Sem Justa Causa," R$ 31,333.33 ",
20766,Masculino,35,Contrato,Auckland,TI,9/18/2002,Inativo,Mensalista,Pedido de Demissão," R$ 8,416.67 ",5/7/2004
29168,Feminino,31,Tempo Integral,Auckland,Financeiro,9/25/2002,Ativo,Mensalista,Sem Justa Causa," R$ 7,666.67 ",
23738,Feminino,80,Tempo Parcial,Christchurch,Gerente Executivo,10/15/2002,Ativo,Mensalista,Sem Justa Causa," R$ 33,000.00 ",
23328,Feminino,67,Tempo Integral,Auckland,Gerente Executivo,10/22/2002,Ativo,Mensalista,Sem Justa Causa," R$ 36,166.67 ",
24130,Feminino,79,Tempo Integral,Christchurch,Manutenção,10/29/2002,Inativo,Horista,Sem Justa Causa," R$ 3,083.33 ",6/13/2004
23698,Masculino,63,Tempo Integral,Auckland,Pesquisa,11/5/2002,Inativo,Mensalista,Sem Justa Causa," R$ 6,250.00 ",6/19/2004
33648,Masculino,35,Tempo Parcial,Auckland,Gerente Executivo,11/5/2002,Ativo,Mensalista,Sem Justa Causa," R$ 35,583.33 ",
23590,Masculino,63,Tempo Parcial,Auckland,Pesquisa,11/13/2002,Inativo,Mensalista,Sem Justa Causa," R$ 5,833.33 ",6/26/2004
23412,Masculino,59,Tempo Integral,Dunedin,Vendas e Marketing,12/4/2002,Ativo,Mensalista,Sem Justa Causa," R$ 5,250.00 ",
24002,Masculino,75,Tempo Parcial,Auckland,Operacional,2/11/2003,Ativo,Mensalista,Sem Justa Causa," R$ 2,916.67 ",
25166,Feminino,33,Tempo Integral,Auckland,TI,3/4/2003,Ativo,Mensalista,Sem Justa Causa," R$ 8,583.33 ",
18686,Feminino,53,Contrato,Auckland,Financeiro,4/15/2003,Ativo,Mensalista,Pedido de Demissão," R$ 9,500.00 ",
26362,Masculino,28,Tempo Integral,Manukau,Operacional,5/13/2003,Ativo,Mensalista,Sem Justa Causa," R$ 5,500.00 ",
24116,Masculino,70,Tempo Parcial,Christchurch,Manutenção,6/25/2003,Ativo,Mensalista,Sem Justa Causa," R$ 3,416.67 ",
33422,Feminino,28,Tempo Integral,Auckland,RH,7/1/2003,Ativo,Mensalista,Sem Justa Causa," R$ 6,750.00 ",
20688,Feminino,29,Tempo Integral,Wellington,Manutenção,7/16/2003,Ativo,Mensalista,Pedido de Demissão," R$ 3,333.33 ",
26274,Feminino,38,Tempo Parcial,Wellington,Financeiro,7/22/2003,Ativo,Mensalista,Sem Justa Causa," R$ 10,333.33 ",
25610,Feminino,32,Tempo Parcial,Dunedin,Vendas e Marketing,8/19/2003,Ativo,Mensalista,Sem Justa Causa," R$ 5,250.00 ",
24114,Masculino,67,Tempo Integral,Wellington,RH,8/27/2003,Inativo,Mensalista,Sem Justa Causa," R$ 6,416.67 ",3/12/2005
24096,Masculino,65,Tempo Integral,North Shore,Manutenção,9/23/2003,Ativo,Mensalista,Sem Justa Causa," R$ 3,833.33 ",
23648,Masculino,69,Contrato,Auckland,Operacional,9/23/2003,Inativo,Mensalista,Sem Justa Causa," R$ 5,583.33 ",4/5/2005
18810,Feminino,68,Tempo Parcial,Wellington,Operacional,10/7/2003,Inativo,Mensalista,Pedido de Demissão," R$ 4,916.67 ",4/17/2005
24272,Masculino,58,Tempo Integral,Auckland,Manutenção,10/7/2003,Ativo,Mensalista,Sem Justa Causa," R$ 4,000.00 ",
30768,Masculino,42,Tempo Parcial,North Shore,Gerente Executivo,10/8/2003,Inativo,Mensalista,Sem Justa Causa," R$ 26,166.67 ",4/18/2005
18488,Feminino,46,Tempo Integral,Auckland,Pesquisa,10/14/2003,Inativo,Mensalista,Pedido de Demissão," R$ 7,250.00 ",4/24/2005
33868,Masculino,46,Tempo Integral,Dunedin,Manutenção,11/25/2003,Ativo,Mensalista,Pedido de Demissão," R$ 3,833.33 ",
25814,Feminino,31,Contrato,Manukau,Pesquisa,12/10/2003,Inativo,Mensalista,Sem Justa Causa," R$ 5,333.33 ",6/14/2005
31658,Feminino,28,Tempo Integral,Auckland,Operacional,2/24/2004,Ativo,Horista,Sem Justa Causa," R$ 5,916.67 ",
24064,Masculino,74,Tempo Parcial,Auckland,Pesquisa,3/25/2004,Ativo,Mensalista,Sem Justa Causa," R$ 5,833.33 ",
26370,Masculino,37,Tempo Parcial,Nelson,Manutenção,3/31/2004,Ativo,Mensalista,Sem Justa Causa," R$ 3,000.00 ",
19156,Masculino,39,Tempo Parcial,Auckland,TI,3/31/2004,Inativo,Horista,Pedido de Demissão," R$ 8,333.33 ",9/23/2005
33446,Feminino,36,Tempo Integral,Auckland,Pesquisa,4/27/2004,Ativo,Horista,Sem Justa Causa," R$ 7,916.67 ",
18420,Feminino,62,Tempo Parcial,Dunedin,TI,5/5/2004,Inativo,Mensalista,Sem Justa Causa," R$ 6,500.00 ",10/24/2005
24342,Masculino,70,Tempo Integral,Auckland,Financeiro,6/23/2004,Ativo,Mensalista,Sem Justa Causa," R$ 14,083.33 ",
17420,Feminino,42,Tempo Integral,Auckland,Manutenção,7/15/2004,Ativo,Horista,Pedido de Demissão," R$ 3,250.00 ",
27092,Feminino,27,Tempo Parcial,North Shore,Operacional,8/4/2004,Ativo,Mensalista,Sem Justa Causa," R$ 4,666.67 ",
19916,Masculino,29,Tempo Parcial,Auckland,Operacional,9/8/2004,Ativo,Horista,Pedido de Demissão," R$ 5,916.67 ",
22842,Masculino,80,Tempo Integral,Manukau,Vendas e Marketing,9/29/2004,Inativo,Mensalista,Sem Justa Causa," R$ 7,833.33 ",3/6/2006
7552,Masculino,58,Tempo Parcial,Auckland,Manutenção,9/30/2004,Ativo,Mensalista,Sem Justa Causa," R$ 4,000.00 ",
6818,Masculino,71,Tempo Integral,Auckland,RH,10/6/2004,Inativo,Horista,Sem Justa Causa," R$ 7,750.00 ",3/12/2006
17596,Masculino,30,Tempo Integral,Auckland,RH,10/27/2004,Ativo,Mensalista,Pedido de Demissão," R$ 4,916.67 ",
24474,Feminino,31,Tempo Integral,Auckland,Jurídico,12/8/2004,Inativo,Mensalista,Sem Justa Causa," R$ 6,750.00 ",5/8/2006
17004,Masculino,77,Tempo Integral,Hamilton,Operacional,3/7/2005,Ativo,Mensalista,Pedido de Demissão," R$ 5,833.33 ",
22840,Feminino,81,Tempo Integral,Dunedin,RH,3/12/2005,Ativo,Mensalista,Sem Justa Causa," R$ 8,250.00 ",
5770,Masculino,24,Tempo Integral,Nelson,TI,5/2/2005,Ativo,Mensalista,Sem Justa Causa," R$ 5,416.67 ",
18266,Feminino,42,Tempo Integral,Nelson,Financeiro,5/4/2005,Ativo,Horista,Pedido de Demissão," R$ 10,333.33 ",
1024,Feminino,31,Contrato,Wellington,Pesquisa,5/9/2005,Ativo,Mensalista,Sem Justa Causa," R$ 8,750.00 ",
23638,Masculino,69,Contrato,Christchurch,Manutenção,5/28/2005,Ativo,Mensalista,Sem Justa Causa," R$ 3,083.33 ",
19704,Feminino,73,Tempo Parcial,Hamilton,Financeiro,6/1/2005,Ativo,Mensalista,Pedido de Demissão," R$ 7,416.67 ",
1050,Masculino,28,Tempo Integral,Auckland,Financeiro,6/14/2005,Ativo,Mensalista,Sem Justa Causa," R$ 13,250.00 ",
