Data,ID_Veiculo,KM Percorridos,ValorAbastecimento,ValorManutencao,CustoFixo,CustoTotal
1/2017,2625,770,R$ 325.76,R$ 132.41,"R$ 1,132.70","R$ 1,590.88"
1/2017,2635,381,R$ 156.65,R$ 82.88,R$ 429.53,R$ 669.05
1/2017,2645,446,"R$ 2,003.00",R$ 744.60,"R$ 7,171.52","R$ 9,919.12"
1/2017,2655,125,R$ 378.62,R$ 134.42,"R$ 1,268.35","R$ 1,781.39"
1/2017,2665,351,R$ 90.71,R$ 37.60,R$ 293.76,R$ 422.07
1/2017,2675,635,"R$ 1,037.09",R$ 417.45,"R$ 2,434.61","R$ 3,889.15"
1/2017,2685,391,R$ 515.09,R$ 227.11,"R$ 1,606.52","R$ 2,348.71"
1/2017,2695,539,R$ 513.50,R$ 209.75,"R$ 1,337.28","R$ 2,060.53"
1/2017,2705,565,R$ 310.69,R$ 127.52,R$ 885.68,"R$ 1,323.89"
1/2017,2715,810,R$ 307.05,R$ 162.45,R$ 823.90,"R$ 1,293.40"
1/2017,2725,238,R$ 168.24,R$ 90.19,R$ 447.67,R$ 706.10
1/2017,2735,0,R$ 3.13,R$ 1.48,R$ 9.92,R$ 14.52
1/2017,2745,227,"R$ 1,067.78",R$ 436.13,"R$ 3,109.33","R$ 4,613.24"
1/2017,2755,503,"R$ 1,592.81",R$ 816.89,"R$ 4,210.35","R$ 6,620.05"
1/2017,2765,582,"R$ 4,374.35","R$ 1,552.95","R$ 10,722.41","R$ 16,649.71"
1/2017,2775,597,R$ 236.33,R$ 92.36,R$ 770.61,"R$ 1,099.31"
1/2017,2785,109,R$ 44.34,R$ 16.15,R$ 132.15,R$ 192.64
1/2017,2795,487,R$ 136.54,R$ 60.77,R$ 389.93,R$ 587.24
1/2017,2805,354,R$ 31.73,R$ 14.45,R$ 117.59,R$ 163.78
1/2017,2815,174,R$ 357.62,R$ 184.22,R$ 950.84,"R$ 1,492.67"
1/2017,2825,400,R$ 316.90,R$ 145.06,R$ 937.92,"R$ 1,399.88"
1/2017,2835,236,R$ 278.56,R$ 99.41,"R$ 1,087.01","R$ 1,464.98"
1/2017,2845,387,R$ 368.38,R$ 139.73,R$ 947.78,"R$ 1,455.88"
1/2017,2855,543,"R$ 1,210.71",R$ 626.48,"R$ 4,286.78","R$ 6,123.97"
1/2017,2865,679,R$ 198.28,R$ 92.88,R$ 666.59,R$ 957.75
1/2017,2875,475,"R$ 1,031.56",R$ 545.75,"R$ 2,916.44","R$ 4,493.75"
1/2017,2885,425,"R$ 1,466.28",R$ 556.18,"R$ 4,278.04","R$ 6,300.50"
1/2017,2895,346,R$ 162.77,R$ 60.50,R$ 467.97,R$ 691.24
1/2017,2905,743,R$ 704.18,R$ 357.94,"R$ 2,613.05","R$ 3,675.17"
1/2017,2915,318,R$ 780.80,R$ 297.65,"R$ 2,345.20","R$ 3,423.65"
1/2017,2925,310,R$ 361.49,R$ 157.15,"R$ 1,353.68","R$ 1,872.32"
1/2017,2935,341,R$ 826.37,R$ 392.47,"R$ 2,441.32","R$ 3,660.15"
1/2017,2945,373,R$ 149.12,R$ 56.57,R$ 385.37,R$ 591.05
1/2017,2955,716,R$ 801.21,R$ 300.87,"R$ 2,363.57","R$ 3,465.65"
1/2017,2965,254,R$ 939.47,R$ 473.27,"R$ 2,600.72","R$ 4,013.46"
1/2017,2975,592,R$ 981.11,R$ 509.93,"R$ 3,303.30","R$ 4,794.34"
1/2017,2985,480,R$ 238.11,R$ 119.96,R$ 953.52,"R$ 1,311.59"
1/2017,2995,371,R$ 142.18,R$ 57.51,R$ 379.13,R$ 578.81
1/2017,3005,302,R$ 311.03,R$ 131.40,R$ 779.75,"R$ 1,222.19"
1/2017,3015,379,R$ 530.83,R$ 284.57,"R$ 1,475.06","R$ 2,290.46"
1/2017,3025,242,R$ 222.40,R$ 98.06,R$ 796.10,"R$ 1,116.55"
1/2017,3035,373,R$ 883.41,R$ 328.40,"R$ 3,378.40","R$ 4,590.21"
1/2017,3045,413,R$ 799.25,R$ 321.72,"R$ 2,382.08","R$ 3,503.05"
1/2017,3055,1090,"R$ 2,234.15","R$ 1,027.38","R$ 6,804.92","R$ 10,066.44"
1/2017,3065,481,R$ 886.67,R$ 444.67,"R$ 2,237.92","R$ 3,569.25"
1/2017,3075,390,R$ 197.64,R$ 91.31,R$ 586.64,R$ 875.59
1/2017,3085,299,R$ 39.95,R$ 17.12,R$ 113.81,R$ 170.88
1/2017,3095,632,R$ 338.40,R$ 132.91,R$ 883.02,"R$ 1,354.33"
1/2017,3105,254,R$ 704.03,R$ 280.63,"R$ 1,698.33","R$ 2,682.99"
1/2017,3115,430,R$ 413.24,R$ 189.15,"R$ 1,596.11","R$ 2,198.50"
1/2017,3125,731,R$ 989.72,R$ 521.30,"R$ 3,167.04","R$ 4,678.05"
1/2017,3135,252,R$ 76.13,R$ 32.01,R$ 217.59,R$ 325.73
1/2017,3145,345,"R$ 1,793.32",R$ 875.31,"R$ 4,806.52","R$ 7,475.15"
1/2017,3155,542,R$ 137.93,R$ 73.94,R$ 375.03,R$ 586.90
1/2017,3165,481,R$ 464.15,R$ 203.69,"R$ 1,700.37","R$ 2,368.20"
1/2017,3175,715,R$ 222.03,R$ 92.91,R$ 688.06,"R$ 1,003.00"
1/2017,3185,500,R$ 129.38,R$ 61.73,R$ 406.10,R$ 597.21
1/2017,3195,522,R$ 427.10,R$ 183.92,"R$ 1,053.87","R$ 1,664.88"
1/2017,3205,223,R$ 61.33,R$ 25.05,R$ 203.48,R$ 289.85
1/2017,3215,324,R$ 471.78,R$ 177.17,"R$ 1,081.57","R$ 1,730.51"
1/2017,3225,141,R$ 15.28,R$ 7.32,R$ 54.02,R$ 76.61
1/2017,3235,209,R$ 51.18,R$ 25.90,R$ 171.56,R$ 248.64
1/2017,3245,612,R$ 360.77,R$ 134.12,"R$ 1,331.26","R$ 1,826.15"
1/2017,3255,403,R$ 70.76,R$ 28.48,R$ 216.80,R$ 316.04
1/2017,3265,696,R$ 248.57,R$ 125.78,R$ 916.49,"R$ 1,290.83"
1/2017,3275,644,"R$ 1,380.01",R$ 649.41,"R$ 5,404.35","R$ 7,433.77"
1/2017,3285,521,R$ 653.76,R$ 254.24,"R$ 1,920.66","R$ 2,828.66"
1/2017,3295,438,R$ 151.31,R$ 57.68,R$ 366.71,R$ 575.69
1/2017,3305,495,R$ 133.72,R$ 56.49,R$ 336.68,R$ 526.89
1/2017,3315,609,R$ 918.74,R$ 481.77,"R$ 2,344.16","R$ 3,744.66"
1/2017,3325,937,"R$ 1,066.64",R$ 504.26,"R$ 2,629.37","R$ 4,200.28"
1/2017,3335,346,R$ 189.48,R$ 77.39,R$ 491.28,R$ 758.15
1/2017,3345,493,R$ 600.76,R$ 212.18,"R$ 1,751.54","R$ 2,564.47"
1/2017,3355,328,R$ 149.45,R$ 53.61,R$ 540.76,R$ 743.82
1/2017,3365,425,R$ 318.46,R$ 148.49,"R$ 1,137.68","R$ 1,604.63"
1/2017,3375,300,"R$ 1,031.02",R$ 478.52,"R$ 2,840.73","R$ 4,350.27"
1/2017,3385,349,R$ 107.38,R$ 38.51,R$ 433.05,R$ 578.94
1/2017,3395,436,R$ 354.60,R$ 138.59,"R$ 1,150.78","R$ 1,643.96"
1/2017,3405,417,R$ 663.74,R$ 306.65,"R$ 2,677.67","R$ 3,648.06"
1/2017,3415,663,"R$ 1,255.43",R$ 588.08,"R$ 3,610.67","R$ 5,454.19"
1/2017,3425,717,"R$ 1,709.48",R$ 888.51,"R$ 6,815.03","R$ 9,413.02"
1/2017,3435,368,R$ 367.04,R$ 192.47,"R$ 1,233.76","R$ 1,793.26"
1/2017,3445,405,R$ 417.65,R$ 176.45,"R$ 1,673.43","R$ 2,267.52"
1/2017,3455,359,R$ 100.46,R$ 50.83,R$ 413.21,R$ 564.49
1/2017,3465,713,R$ 553.51,R$ 268.94,"R$ 2,023.37","R$ 2,845.82"
1/2017,3475,293,R$ 129.52,R$ 63.50,R$ 347.66,R$ 540.68
1/2017,3485,340,R$ 456.29,R$ 170.48,"R$ 1,049.09","R$ 1,675.85"
1/2017,3495,263,R$ 24.74,R$ 9.02,R$ 76.19,R$ 109.95
1/2017,3505,457,"R$ 1,687.31",R$ 627.24,"R$ 5,127.74","R$ 7,442.30"
1/2017,3515,403,R$ 684.98,R$ 246.97,"R$ 1,671.24","R$ 2,603.18"
1/2017,3525,276,R$ 85.75,R$ 38.35,R$ 254.28,R$ 378.39
1/2017,3535,269,R$ 283.58,R$ 140.94,R$ 889.77,"R$ 1,314.28"
1/2017,3545,57,R$ 910.65,R$ 330.02,"R$ 2,376.45","R$ 3,617.11"
1/2017,3555,314,R$ 222.21,R$ 82.61,R$ 815.82,"R$ 1,120.63"
1/2017,3565,74,R$ 33.34,R$ 15.55,R$ 87.31,R$ 136.20
1/2017,3575,195,R$ 315.92,R$ 154.91,R$ 819.12,"R$ 1,289.94"
1/2017,3585,402,R$ 618.64,R$ 314.45,"R$ 2,522.83","R$ 3,455.92"
1/2017,3595,230,R$ 46.98,R$ 16.94,R$ 179.10,R$ 243.02
1/2017,3605,388,R$ 146.31,R$ 63.90,R$ 592.12,R$ 802.34
1/2017,3615,292,R$ 145.94,R$ 76.19,R$ 474.20,R$ 696.33
1/2017,3625,349,R$ 936.93,R$ 351.83,"R$ 2,950.57","R$ 4,239.32"
1/2017,3635,185,R$ 81.57,R$ 39.45,R$ 220.85,R$ 341.87
1/2017,3645,481,R$ 498.27,R$ 189.00,"R$ 1,945.92","R$ 2,633.18"
1/2017,3655,186,R$ 220.59,R$ 114.15,R$ 608.20,R$ 942.94
1/2017,3665,199,R$ 252.75,R$ 120.04,R$ 997.73,"R$ 1,370.52"
1/2017,3675,234,R$ 576.85,R$ 225.45,"R$ 1,872.04","R$ 2,674.35"
1/2017,3685,52,R$ 11.35,R$ 5.46,R$ 33.51,R$ 50.32
1/2017,3695,624,R$ 309.85,R$ 161.05,"R$ 1,266.75","R$ 1,737.66"
1/2017,3705,311,R$ 208.00,R$ 76.15,R$ 641.42,R$ 925.57
1/2017,3725,222,R$ 319.24,R$ 131.66,"R$ 1,345.52","R$ 1,796.41"
1/2017,3735,489,"R$ 1,251.72",R$ 442.08,"R$ 3,011.20","R$ 4,705.00"
1/2017,3745,235,R$ 181.19,R$ 86.45,R$ 598.50,R$ 866.14
1/2017,3755,422,R$ 115.99,R$ 48.77,R$ 272.25,R$ 437.01
1/2017,3765,538,"R$ 1,089.95",R$ 395.00,"R$ 3,653.30","R$ 5,138.25"
1/2017,3775,157,R$ 391.57,R$ 160.72,"R$ 1,441.54","R$ 1,993.83"
1/2017,3785,551,R$ 211.19,R$ 82.13,R$ 617.59,R$ 910.91
1/2017,3795,215,R$ 61.82,R$ 28.42,R$ 224.20,R$ 314.43
1/2017,3805,259,R$ 580.33,R$ 242.84,"R$ 1,717.46","R$ 2,540.63"
1/2017,3815,331,R$ 735.34,R$ 338.15,"R$ 2,457.75","R$ 3,531.25"
1/2017,3825,391,R$ 536.84,R$ 265.61,"R$ 1,720.98","R$ 2,523.42"
1/2017,3835,211,R$ 31.30,R$ 14.06,R$ 80.99,R$ 126.35
1/2017,3845,201,R$ 125.70,R$ 56.74,R$ 423.67,R$ 606.11
1/2017,3855,466,R$ 559.83,R$ 232.01,"R$ 2,173.83","R$ 2,965.66"
1/2017,3875,117,R$ 554.41,R$ 258.51,"R$ 1,451.48","R$ 2,264.40"
1/2017,3885,108,R$ 175.60,R$ 65.28,R$ 578.44,R$ 819.31
1/2017,3895,230,R$ 378.81,R$ 199.52,R$ 963.89,"R$ 1,542.23"
1/2017,3905,264,R$ 532.49,R$ 238.12,"R$ 1,841.66","R$ 2,612.27"
1/2017,3915,444,R$ 196.21,R$ 75.92,R$ 743.30,"R$ 1,015.43"
1/2017,3925,242,R$ 76.42,R$ 32.44,R$ 234.54,R$ 343.40
1/2017,3935,471,R$ 222.24,R$ 102.66,R$ 878.42,"R$ 1,203.32"
1/2017,3945,522,"R$ 1,210.57",R$ 548.98,"R$ 3,916.43","R$ 5,675.99"
1/2017,3955,97,R$ 65.21,R$ 29.16,R$ 174.49,R$ 268.85
1/2017,3965,206,R$ 51.70,R$ 21.53,R$ 143.44,R$ 216.67
1/2017,3975,218,"R$ 1,583.57",R$ 576.83,"R$ 3,647.15","R$ 5,807.56"
1/2017,3985,231,R$ 97.52,R$ 41.19,R$ 409.53,R$ 548.24
1/2017,3995,237,R$ 911.77,R$ 415.40,"R$ 2,193.18","R$ 3,520.35"
1/2017,4005,258,R$ 536.60,R$ 223.46,"R$ 1,368.95","R$ 2,129.01"
1/2017,4015,322,"R$ 5,174.45","R$ 2,012.28","R$ 13,346.78","R$ 20,533.52"
1/2017,4025,421,"R$ 5,111.21","R$ 2,416.35","R$ 12,492.55","R$ 20,020.12"
1/2017,4035,406,R$ 610.38,R$ 261.60,"R$ 1,685.15","R$ 2,557.13"
1/2017,4045,264,R$ 324.09,R$ 170.71,"R$ 1,324.31","R$ 1,819.11"
1/2017,4055,216,R$ 81.11,R$ 30.77,R$ 208.67,R$ 320.54
1/2017,4075,575,R$ 294.66,R$ 120.94,R$ 745.29,"R$ 1,160.89"
1/2017,4085,160,R$ 42.05,R$ 22.54,R$ 155.11,R$ 219.70
1/2017,4095,222,R$ 136.01,R$ 59.40,R$ 500.00,R$ 695.41
1/2017,4105,38,R$ 757.14,R$ 395.29,"R$ 2,004.91","R$ 3,157.34"
1/2017,4115,366,R$ 565.10,R$ 270.85,"R$ 2,481.32","R$ 3,317.27"
1/2017,4125,240,R$ 94.09,R$ 34.62,R$ 322.89,R$ 451.60
1/2017,4135,337,R$ 104.26,R$ 47.50,R$ 322.47,R$ 474.23
1/2017,4145,333,R$ 226.17,R$ 108.89,R$ 565.64,R$ 900.69
1/2017,4155,335,R$ 771.16,R$ 352.98,"R$ 2,272.06","R$ 3,396.20"
1/2017,4165,419,R$ 61.21,R$ 28.41,R$ 248.60,R$ 338.22
1/2017,4175,338,R$ 783.98,R$ 278.33,"R$ 2,613.51","R$ 3,675.82"
1/2017,4185,379,"R$ 1,243.24",R$ 522.72,"R$ 3,822.53","R$ 5,588.49"
1/2017,4195,482,R$ 388.21,R$ 170.37,"R$ 1,328.52","R$ 1,887.10"
1/2017,4205,367,R$ 344.40,R$ 164.32,"R$ 1,432.97","R$ 1,941.69"
1/2017,4215,350,"R$ 3,348.80","R$ 1,671.89","R$ 10,193.54","R$ 15,214.23"
1/2017,4225,223,R$ 71.23,R$ 33.06,R$ 248.02,R$ 352.31
1/2017,4235,230,R$ 177.60,R$ 65.02,R$ 468.86,R$ 711.48
1/2017,4245,357,R$ 91.96,R$ 41.32,R$ 281.93,R$ 415.22
1/2017,4255,254,R$ 131.08,R$ 53.80,R$ 551.67,R$ 736.54
1/2017,4265,49,R$ 0.39,R$ 0.20,R$ 1.17,R$ 1.75
1/2017,4275,66,R$ 11.26,R$ 3.99,R$ 39.98,R$ 55.22
1/2017,4285,207,R$ 169.65,R$ 65.65,R$ 477.72,R$ 713.02
1/2017,4295,252,R$ 267.48,R$ 142.77,R$ 952.71,"R$ 1,362.95"
1/2017,4305,444,R$ 109.06,R$ 46.52,R$ 422.79,R$ 578.37
1/2017,4315,199,R$ 66.50,R$ 33.35,R$ 201.82,R$ 301.67
1/2017,4325,645,R$ 254.02,R$ 92.53,R$ 848.44,"R$ 1,194.98"
1/2017,4335,781,"R$ 2,385.96",R$ 923.27,"R$ 7,576.39","R$ 10,885.63"
1/2017,4345,500,"R$ 1,254.89",R$ 646.46,"R$ 5,411.56","R$ 7,312.91"
1/2017,4355,929,R$ 646.53,R$ 247.70,"R$ 1,882.90","R$ 2,777.14"
1/2017,4365,243,"R$ 1,302.83",R$ 484.32,"R$ 3,122.57","R$ 4,909.72"
1/2017,4375,955,"R$ 1,751.18",R$ 701.46,"R$ 7,280.06","R$ 9,732.69"
1/2017,4385,438,R$ 86.80,R$ 37.03,R$ 324.81,R$ 448.64
1/2017,4395,498,"R$ 2,030.83","R$ 1,060.23","R$ 6,163.61","R$ 9,254.67"
1/2017,4405,1229,R$ 696.68,R$ 265.58,"R$ 2,310.76","R$ 3,273.02"
1/2017,4415,291,R$ 318.00,R$ 155.92,"R$ 1,370.10","R$ 1,844.01"
1/2017,4425,1402,"R$ 1,532.36",R$ 641.20,"R$ 4,200.52","R$ 6,374.07"
1/2017,4435,362,"R$ 1,141.88",R$ 570.09,"R$ 3,637.96","R$ 5,349.93"
1/2017,4445,662,"R$ 4,026.62","R$ 1,851.67","R$ 13,781.53","R$ 19,659.82"
1/2017,4455,669,R$ 106.88,R$ 54.08,R$ 372.01,R$ 532.97
1/2017,4465,495,R$ 327.59,R$ 117.50,"R$ 1,314.15","R$ 1,759.24"
1/2017,4475,760,"R$ 1,436.11",R$ 657.34,"R$ 5,175.45","R$ 7,268.90"
1/2017,4485,640,R$ 589.11,R$ 256.09,"R$ 1,981.53","R$ 2,826.73"
1/2017,4495,231,R$ 194.24,R$ 103.21,R$ 554.85,R$ 852.29
1/2017,4505,848,"R$ 3,154.40","R$ 1,149.01","R$ 9,061.19","R$ 13,364.60"
1/2017,4515,250,R$ 79.16,R$ 31.71,R$ 190.39,R$ 301.25
1/2017,4525,796,"R$ 1,133.33",R$ 425.59,"R$ 2,735.61","R$ 4,294.53"
1/2017,4535,493,R$ 533.55,R$ 251.08,"R$ 2,100.04","R$ 2,884.67"
1/2017,4545,712,"R$ 13,828.15","R$ 5,786.24","R$ 37,074.60","R$ 56,689.00"
1/2017,4555,200,"R$ 1,427.51",R$ 583.07,"R$ 3,920.35","R$ 5,930.93"
1/2017,4565,1058,"R$ 2,141.44","R$ 1,093.37","R$ 7,730.66","R$ 10,965.47"
1/2017,4575,1367,"R$ 1,030.13",R$ 406.59,"R$ 2,956.94","R$ 4,393.66"
1/2017,4585,954,R$ 335.36,R$ 126.57,R$ 800.18,"R$ 1,262.11"
1/2017,4595,596,"R$ 1,596.70",R$ 690.84,"R$ 4,480.35","R$ 6,767.89"
1/2017,4605,237,R$ 598.91,R$ 296.32,"R$ 1,492.04","R$ 2,387.27"
1/2017,4615,518,R$ 235.30,R$ 89.25,R$ 953.19,"R$ 1,277.74"
1/2017,4625,641,"R$ 5,525.49","R$ 2,897.51","R$ 20,823.53","R$ 29,246.53"
1/2017,4635,1001,R$ 968.84,R$ 453.82,"R$ 4,245.35","R$ 5,668.01"
1/2017,4645,378,R$ 894.94,R$ 336.06,"R$ 2,368.41","R$ 3,599.40"
1/2017,4655,173,R$ 642.26,R$ 323.55,"R$ 1,925.84","R$ 2,891.66"
1/2017,4665,316,R$ 114.20,R$ 55.73,R$ 450.28,R$ 620.21
1/2017,4675,740,"R$ 2,568.64","R$ 1,192.17","R$ 7,015.16","R$ 10,775.97"
1/2017,4685,724,"R$ 1,186.18",R$ 600.24,"R$ 3,231.61","R$ 5,018.02"
1/2017,4695,546,"R$ 2,191.14","R$ 1,007.61","R$ 8,963.77","R$ 12,162.51"
1/2017,4705,1263,"R$ 1,438.56",R$ 670.75,"R$ 4,400.90","R$ 6,510.21"
1/2017,4715,894,"R$ 1,099.74",R$ 529.51,"R$ 3,446.28","R$ 5,075.53"
1/2017,4725,577,R$ 989.58,R$ 390.59,"R$ 4,011.08","R$ 5,391.25"
1/2017,4735,541,R$ 211.08,R$ 80.46,R$ 636.92,R$ 928.45
1/2017,4745,498,R$ 164.54,R$ 80.30,R$ 574.01,R$ 818.86
1/2017,4755,397,R$ 693.24,R$ 357.13,"R$ 2,584.11","R$ 3,634.47"
1/2017,4765,382,R$ 200.55,R$ 88.42,R$ 721.42,"R$ 1,010.39"
1/2017,4775,852,"R$ 1,832.77",R$ 978.24,"R$ 4,645.24","R$ 7,456.25"
1/2017,4785,277,R$ 107.91,R$ 51.25,R$ 462.57,R$ 621.74
1/2017,4795,509,R$ 623.88,R$ 319.97,"R$ 2,288.52","R$ 3,232.38"
1/2017,4805,558,R$ 299.36,R$ 112.98,R$ 892.56,"R$ 1,304.90"
1/2017,4815,782,"R$ 8,174.61","R$ 2,992.89","R$ 18,852.68","R$ 30,020.19"
1/2017,4825,848,R$ 805.80,R$ 386.20,"R$ 2,119.11","R$ 3,311.11"
1/2017,4835,610,R$ 276.12,R$ 116.09,R$ 807.23,"R$ 1,199.44"
1/2017,4845,940,"R$ 1,960.27","R$ 1,018.86","R$ 5,606.24","R$ 8,585.37"
1/2017,4855,393,R$ 446.82,R$ 194.24,"R$ 1,185.31","R$ 1,826.37"
1/2017,4865,466,R$ 83.75,R$ 31.93,R$ 327.53,R$ 443.21
1/2017,4875,844,R$ 634.05,R$ 273.03,"R$ 2,477.52","R$ 3,384.60"
1/2017,4885,584,R$ 908.42,R$ 341.12,"R$ 2,240.81","R$ 3,490.35"
1/2017,4895,48,R$ 28.55,R$ 11.77,R$ 67.49,R$ 107.81
1/2017,4905,443,R$ 711.24,R$ 339.35,"R$ 2,242.80","R$ 3,293.39"
1/2017,4915,1213,"R$ 2,115.01","R$ 1,109.09","R$ 6,635.54","R$ 9,859.64"
1/2017,4925,1272,"R$ 2,638.47","R$ 1,383.59","R$ 7,669.97","R$ 11,692.03"
1/2017,4935,886,"R$ 2,405.55","R$ 1,163.51","R$ 10,482.37","R$ 14,051.44"
1/2017,4945,485,R$ 854.43,R$ 327.36,"R$ 2,038.36","R$ 3,220.15"
1/2017,4955,697,"R$ 1,713.87",R$ 659.90,"R$ 5,021.14","R$ 7,394.91"
1/2017,4965,525,R$ 550.06,R$ 207.61,"R$ 2,237.09","R$ 2,994.75"
1/2017,4975,385,"R$ 3,226.16","R$ 1,518.20","R$ 8,397.93","R$ 13,142.29"
1/2017,4985,409,R$ 106.12,R$ 41.06,R$ 343.45,R$ 490.63
1/2017,4995,1036,"R$ 2,040.26",R$ 964.54,"R$ 5,938.09","R$ 8,942.89"
1/2017,5005,393,"R$ 1,837.74",R$ 884.84,"R$ 4,861.19","R$ 7,583.77"
1/2017,5015,323,R$ 280.97,R$ 137.76,"R$ 1,210.57","R$ 1,629.29"
